,rmse,rmse,mae,mae,coverage_percent,coverage_percent,mean_width,mean_width,median_width,median_width,mean_interval_score,mean_interval_score,test_range,test_range,relative_mean_width,relative_mean_width,relative_median_width,relative_median_width,elapsed_seconds,elapsed_seconds
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,sum
condition,,,,,,,,,,,,,,,,,,,,
AR1_plus_sine_heteroskedastic,9.888547681861528,,6.701183504475697,,95.07575757575758,,46.8970812615288,,48.34816736703942,,59.225924183928704,,376.2982025303522,,0.12462743894649903,,0.12848365217248056,,253.0607946,253.0607946
