metric,mean,std
mse,3.793315923099459,0.5432268163402411
rmse,1.9428616104549845,0.13994241567506413
coverage,0.94525,0.01824360017563475
mean_width,7.55382465729416,0.28746009730936034
low_kf_mse,0.22847323191639096,0.048950761392678115
low_kf_rmse,0.475347066119975,0.05148733771288875
high_kf_mse,2.421092709486179,0.3035012359975766
high_kf_rmse,1.553068105009196,0.09772232783342508
low_true_mse,3.981709908613906,1.1527944957054226
low_true_rmse,1.976358896140137,0.282312671493757
high_true_mse,5.811346935673129,1.9859339631992075
high_true_rmse,2.3777631626972897,0.4072879206511366
low_enbpi_coverage,0.9380000000000001,0.025618660961761505
low_enbpi_mean_width,1.8036709961931632,0.07436048003503341
low_mean_beta,0.02621175,0.00590247796424697
high_enbpi_coverage,0.9480000000000001,0.012607433062326838
high_enbpi_mean_width,6.10794229378668,0.26975478352449644
high_mean_beta,0.025660875,0.005139188336680068
low_true_coverage,0.35174999999999995,0.06635778223507696
high_true_coverage,0.8074999999999999,0.06124798600340819
mean_beta,0.026226750000000004,0.004796283175817665
mean_bias_correction,0.0055846632736161516,0.04839010706469721
low_mean_bias_correction,0.0,0.0
high_mean_bias_correction,0.0,0.0
ann_selected_max_iter_mean,125.0,0.0
ann_rolling_validation_mse,3.3087441408267204,0.49202645927624017
ann_nonconverged_models,30.0,0.0
elapsed_seconds,88.27156890999758,5.456538102045965
