metric,mean,std
final_fitted_residual_slope,0.024637057800782715,0.05713067242336204
low_branch_residual_slope,0.10110162340300208,0.017779616509628705
high_branch_residual_slope,-0.2972098351388819,0.0678743121533847
final_residual_by_low_slope,0.14723215932998462,0.035209952119013524
final_residual_by_high_slope,-0.14606279048937207,0.08706531903329226
component_error_corr,0.7643739810019412,0.012786867146646723
component_error_cross_term,1.1463660815570103,0.06336447985780197
component_error_cross_term_share,0.29296472422210595,0.0035974058918098696
combined_oob_mse,3.913098427780723,0.2135698446931028
high_abs_error_by_abs_kf_low_corr,0.00931860909276645,0.043667006783369954
high_squared_error_by_abs_kf_low_corr,0.011149615323551994,0.03889195216552058
high_oob_mse_extreme_to_calm_low_state_ratio,1.0495439793955592,0.18571959628924312
true_innovation_squared_by_abs_true_low_corr,0.2850099131996796,0.03874319897635893
true_innovation_mse_extreme_to_calm_low_state_ratio,3.1051975250422137,0.531905823256757
fitted_residual_cov_total,0.052018988013889066,0.09164024789509283
covariance_cancellation_fraction,0.8756265475732328,0.0947475081200133
opposite_branch_slope_sign_rate,1.0,
opposite_final_component_slope_sign_rate,0.95,
