seed,delta_rmse,delta_mae,delta_coverage_percent,delta_mean_width,delta_median_width,delta_mean_interval_score,delta_test_range,delta_relative_mean_width,delta_relative_median_width,delta_elapsed_seconds
2020,0.31518690284502515,0.24760266311184298,2.0,1.5643903287876855,1.6287074927479903,1.0206188572554513,339.0101655403949,-0.4502680493412072,-0.4456618120407208,-50.646784299999126
2021,0.31105878806384357,0.22639520668598223,-1.0,0.5972926450574896,0.59468407883615,1.7324131323108025,340.4487771268939,-0.4220525333236311,-0.4230715731217492,-24.36528570000064
2022,0.15513462058616723,0.12326852425094759,-0.5,0.4261199894253256,0.4837224771635329,1.2794987091122936,345.8449354723525,-0.4569428575033839,-0.4553476190513103,-46.625723999999536
