,delta_rmse,delta_mae,delta_coverage_percent,delta_mean_width,delta_median_width,delta_mean_interval_score,delta_test_range,delta_relative_mean_width,delta_relative_median_width,delta_elapsed_seconds
mean,0.26046010383167867,0.1990887980162576,0.16666666666666666,0.8626009877568336,0.9023713495825577,1.3441768995595158,341.76795937988044,-0.4430878133894074,-0.44136033473792674,-40.5459313333331
std,0.09123789453175163,0.06651296480686013,1.6072751268321592,0.6137639846858317,0.6314675477906723,0.3602779812034571,3.6032903530168063,0.01852027325891009,0.016562391598184845,14.15634844575637
