seed,condition,mse,rmse,mae,coverage,coverage_percent,mean_width,median_width,mean_interval_score,lower_miss_rate,upper_miss_rate,test_range,relative_mean_width,relative_median_width,elapsed_seconds,selected_residual_window
2020,AR1,1.2180359222903245,1.103646647387797,0.8727089838288157,0.94,94.0,4.163240130842423,4.122763627220715,5.756556039744639,0.025,0.035,8.920017126575441,0.4667300602415735,0.4621923443328096,185.55151559999922,400
2020,AR1_plus_sine,2.0130886432662742,1.4188335502328222,1.1203116469406587,0.96,96.0,5.727630459630109,5.751471119968706,6.777174897000091,0.01,0.03,347.9301826669703,0.016462010900366315,0.016530532292088795,134.9047313000001,400
2021,AR1,1.107884003188587,1.0525606886011785,0.8438422717853158,0.955,95.5,4.284710102196392,4.294938543549011,4.8414944652630565,0.025,0.02,9.827539688796787,0.4359901092112487,0.437030902906977,184.24083130000054,300
2021,AR1_plus_sine,1.8594580771401887,1.363619476665022,1.070237478471298,0.945,94.5,4.882002747253882,4.889622622385161,6.573907597573859,0.025,0.03,350.2763168156907,0.013937575887617624,0.013959329785227804,159.8755455999999,200
2022,AR1,1.1140230369580906,1.0554728973110066,0.8356620397982357,0.915,91.5,3.8597369471010303,3.847668140274986,5.149450386228372,0.04,0.045,8.228886858319015,0.46904727377543404,0.4675806347228089,191.05416419999892,200
2022,AR1_plus_sine,1.4655705623891557,1.2106075178971738,0.9589305640491833,0.91,91.0,4.285856936526356,4.331390617438519,6.428949095340665,0.05,0.04,354.07382233067153,0.012104416272050098,0.012233015671498608,144.4284401999994,100
