seed,condition,window,window_value,mean_interval_score,coverage,mean_width,n_validation_residuals,validation_start_position,selected
2020,AR1,400,400.0,5.206043417032059,0.9384615384615385,4.005508332772347,130,195,True
2020,AR1,all,,5.206043417032059,0.9384615384615385,4.005508332772347,130,195,False
2020,AR1,300,300.0,5.209715789285248,0.9384615384615385,4.009379179760924,130,195,False
2020,AR1,200,200.0,5.251924089662823,0.9307692307692308,4.007175889245112,130,195,False
2020,AR1,100,100.0,5.6109833849752055,0.9076923076923077,3.688323803446377,130,195,False
2020,AR1_plus_sine,400,400.0,7.252082251685323,0.9461538461538461,5.772125788723408,130,195,True
2020,AR1_plus_sine,all,,7.252082251685323,0.9461538461538461,5.772125788723408,130,195,False
2020,AR1_plus_sine,300,300.0,7.262763542602357,0.9461538461538461,5.785138030978857,130,195,False
2020,AR1_plus_sine,100,100.0,7.429991339100772,0.9307692307692308,5.4167756574737265,130,195,False
2020,AR1_plus_sine,200,200.0,7.468548251569569,0.9461538461538461,5.848508314952262,130,195,False
2021,AR1,300,300.0,5.45858350110207,0.9461538461538461,4.331559112902786,130,195,True
2021,AR1,400,400.0,5.464973267405113,0.9461538461538461,4.333571977508874,130,195,False
2021,AR1,all,,5.464973267405113,0.9461538461538461,4.333571977508874,130,195,False
2021,AR1,200,200.0,5.729845827154289,0.9384615384615385,4.3451434876432495,130,195,False
2021,AR1,100,100.0,6.003731990896412,0.9153846153846154,4.166316480235048,130,195,False
2021,AR1_plus_sine,200,200.0,5.824423959334548,0.9538461538461539,5.017679635767801,130,195,True
2021,AR1_plus_sine,400,400.0,5.901251207191788,0.9461538461538461,4.978867857405796,130,195,False
2021,AR1_plus_sine,all,,5.901251207191788,0.9461538461538461,4.978867857405796,130,195,False
2021,AR1_plus_sine,300,300.0,5.902628171317542,0.9461538461538461,4.981637097260143,130,195,False
2021,AR1_plus_sine,100,100.0,5.9961177069711065,0.9307692307692308,4.805124354043785,130,195,False
2022,AR1,200,200.0,4.042009443438689,0.9461538461538461,3.6248576150023357,130,195,True
2022,AR1,400,400.0,4.045878054739905,0.9538461538461539,3.848909987086075,130,195,False
2022,AR1,all,,4.045878054739905,0.9538461538461539,3.848909987086075,130,195,False
2022,AR1,300,300.0,4.111254507425647,0.9461538461538461,3.8382473431853694,130,195,False
2022,AR1,100,100.0,4.1439927336104345,0.9153846153846154,3.3493728976733155,130,195,False
2022,AR1_plus_sine,100,100.0,4.267400000028194,0.9538461538461539,3.813920355060931,130,195,True
2022,AR1_plus_sine,200,200.0,4.528756095301127,0.9692307692307692,4.216138970197202,130,195,False
2022,AR1_plus_sine,300,300.0,4.58080500830823,0.9923076923076923,4.444774822767905,130,195,False
2022,AR1_plus_sine,400,400.0,4.592546156914593,0.9923076923076923,4.456515971374268,130,195,False
2022,AR1_plus_sine,all,,4.592546156914593,0.9923076923076923,4.456515971374268,130,195,False
