seed,condition,mse,rmse,mae,coverage,coverage_percent,mean_width,median_width,mean_interval_score,lower_miss_rate,upper_miss_rate,test_range,relative_mean_width,relative_median_width,elapsed_seconds,selected_residual_window
2020,AR1_plus_sine_heteroskedastic,147.19012313434087,12.132193665382237,8.697824259036738,0.905,90.5,45.287898700380794,46.601701134184694,66.75363856914242,0.025,0.07,387.9677919843901,0.11673107829065088,0.12011744814131302,161.9583074000002,200
2021,AR1_plus_sine_heteroskedastic,141.29826622328088,11.886894725843284,8.655836987370906,0.9,90.0,45.00833044113351,46.582524855610245,68.2281256435184,0.05,0.05,401.2876200089013,0.1121597781664312,0.11608263632597726,165.50860699999976,200
2022,AR1_plus_sine_heteroskedastic,123.18409143203658,11.098832886030701,7.8116657940627325,0.93,93.0,43.43870182541801,44.50172135468731,64.10475701745742,0.025,0.045,390.00449290456174,0.11138000360433777,0.11410566330469776,169.13670410000123,400
