seed,method,mse,rmse,mae,coverage,coverage_percent,mean_width,median_width,mean_interval_score,lower_miss_rate,upper_miss_rate,elapsed_seconds,selected_residual_window
2020,M1_DistPred_ANN,8.493479178376033,2.9143574211781287,2.2666254102272987,0.925,92.5,10.192551727122067,9.341991698823508,15.36639078347942,0.05,0.025,23.978266099991743,
2020,M2_DistPred_Minusformer,10.240521748444968,3.2000815221561103,2.4048144432679543,0.915,91.5,11.58891332311034,10.475386036293958,16.285051352391847,0.05,0.035,23.51285080006346,
2020,M3_Quantile_ANN,8.748511357246185,2.957788254295122,2.271081730684179,0.92,92.0,11.12170838577151,10.003875759146638,15.746685439937274,0.05,0.03,23.003372800012585,
2020,M4_Quantile_Minusformer,10.261792452000623,3.20340326090872,2.4550105817189136,0.77,77.0,7.738359210020303,7.373091725104169,23.0007636094546,0.13,0.1,23.693130600033328,
2020,M5_SortBootstrap_ANN,8.5308057915445,2.9207543189293586,2.2469022607671,0.67,67.0,5.480509182731062,5.166297908207644,25.7258569452498,0.17,0.16,29.86835380003322,
2020,M6_OOT_Adaptive_EnbPI,8.792799082688095,2.9652654320799168,2.343015636209092,0.97,97.0,13.285219194589356,13.408525674166055,14.811015480571168,0.005,0.025,172.34666049998486,300.0
2021,M1_DistPred_ANN,7.859750727933361,2.8035246972219383,2.141704768650971,0.92,92.0,10.690902482317728,10.07959681012278,15.729186829874084,0.05,0.03,14.798893600003794,
2021,M2_DistPred_Minusformer,8.79620406750948,2.965839521536774,2.24333868435007,0.915,91.5,11.622024608897014,10.836517248208203,17.202826844852922,0.05,0.035,15.315045800001826,
2021,M3_Quantile_ANN,8.361373631840571,2.8916039894564696,2.2005738871422365,0.965,96.5,14.552893393086238,13.751775110657185,16.26317552330099,0.01,0.025,14.723223600012716,
2021,M4_Quantile_Minusformer,8.408438122451598,2.899730698263478,2.2355438985539102,0.975,97.5,15.739945011781497,14.138910780162327,17.09614671877879,0.015,0.01,15.406525300000794,
2021,M5_SortBootstrap_ANN,6.986962786630789,2.64328636107229,2.0268737529653307,0.705,70.5,5.245847207307784,5.032931165861035,22.673619545847956,0.155,0.14,21.139127200003713,
2021,M6_OOT_Adaptive_EnbPI,8.187282071474826,2.861342704304192,2.274835766708394,0.92,92.0,11.237927793845415,11.087621147314815,15.170238135354492,0.04,0.04,179.65866099996492,200.0
