Date,adjusted_close
2020-01-02,19.819534301757812
2020-01-03,19.819534301757812
2020-01-06,19.56583023071289
2020-01-07,19.50494384765625
2020-01-08,19.41360855102539
2020-01-09,19.677459716796875
2020-01-10,19.748497009277344
2020-01-13,19.890573501586914
2020-01-14,20.012351989746094
2020-01-15,19.809383392333984
2020-01-16,19.748497009277344
2020-01-17,19.748497009277344
2020-01-20,19.82968521118164
2020-01-30,18.703227996826172
2020-01-31,18.84992027282715
2020-02-03,18.66132164001465
2020-02-04,18.986133575439453
2020-02-05,19.038524627685547
2020-02-06,19.342388153076172
2020-02-07,19.111867904663086
2020-02-10,19.06995964050293
2020-02-11,19.227127075195312
2020-02-12,19.415729522705078
2020-02-13,19.44716453552246
2020-02-14,19.47859764099121
2020-02-17,19.342388153076172
2020-02-18,19.08043098449707
2020-02-19,19.30047607421875
2020-02-20,19.21664810180664
2020-02-21,19.122352600097656
2020-02-24,18.88135528564453
2020-02-25,18.93374252319336
2020-02-26,18.745136260986328
2020-02-27,18.577489852905273
2020-03-02,18.305063247680664
2020-03-03,18.5670166015625
2020-03-04,18.6927490234375
2020-03-05,18.902311325073242
2020-03-06,18.514623641967773
2020-03-09,17.990724563598633
2020-03-10,18.08502769470215
2020-03-11,17.875469207763672
2020-03-12,17.21535301208496
2020-03-13,16.9743595123291
2020-03-16,16.198986053466797
2020-03-17,15.685566902160645
2020-03-18,15.255967140197754
2020-03-19,14.365338325500488
2020-03-20,15.507439613342285
2020-03-23,14.836844444274902
2020-03-24,15.559829711914062
2020-03-25,16.10468292236328
2020-03-26,16.17802619934082
2020-03-27,16.052291870117188
2020-03-30,15.895121574401855
2020-03-31,15.957992553710938
2020-04-01,15.90560245513916
2020-04-06,16.146595001220703
2020-04-07,16.450456619262695
2020-04-08,16.68097496032715
2020-04-09,16.607627868652344
2020-04-10,16.618106842041016
2020-04-13,16.513328552246094
2020-04-14,16.963878631591797
2020-04-15,17.01626968383789
2020-04-16,16.93244743347168
2020-04-17,17.445863723754883
2020-04-20,17.393476486206055
2020-04-21,16.890533447265625
2020-04-22,16.890533447265625
2020-04-23,16.953405380249023
2020-04-24,16.953405380249023
2020-04-27,17.299177169799805
2020-04-28,17.299177169799805
2020-04-29,17.540170669555664
2020-04-30,17.917381286621094
2020-05-04,17.393476486206055
2020-05-05,17.4773006439209
2020-05-06,17.498258590698242
2020-05-07,17.57160186767578
2020-05-08,17.6763858795166
2020-05-11,17.823074340820312
2020-05-12,17.61351776123047
2020-05-13,17.665904998779297
2020-05-14,17.456348419189453
2020-05-15,17.57160186767578
2020-05-18,17.424915313720703
2020-05-19,17.58208465576172
2020-05-20,17.561126708984375
2020-05-21,17.70781898498535
2020-05-22,17.382999420166016
2020-05-25,17.498258590698242
2020-05-26,17.697338104248047
2020-05-27,17.6763858795166
2020-05-28,17.57160186767578
2020-05-29,17.697338104248047
2020-06-01,17.791641235351562
2020-06-02,17.875469207763672
2020-06-03,18.189802169799805
2020-06-04,18.35744857788086
2020-06-05,18.514623641967773
2020-06-08,18.7556209564209
2020-06-09,18.77657127380371
2020-06-10,18.954700469970703
2020-06-11,18.66132164001465
2020-06-12,18.49366569519043
2020-06-15,18.231719970703125
2020-06-16,18.6298828125
2020-06-17,18.65083885192871
2020-06-18,18.6298828125
2020-06-19,18.619403839111328
2020-06-22,18.66132164001465
2020-06-23,18.745136260986328
2020-06-24,18.860395431518555
2020-06-29,18.671794891357422
2020-06-30,18.839445114135742
2020-07-01,18.965177536010742
2020-07-02,19.17473602294922
2020-07-03,19.394777297973633
2020-07-06,19.730072021484375
2020-07-07,19.803415298461914
2020-07-08,19.93963050842285
2020-07-09,20.00249671936035
2020-07-10,19.83485221862793
2020-07-13,20.128236770629883
2020-07-14,20.25397491455078
2020-07-15,20.33779525756836
2020-07-16,20.138717651367188
2020-07-17,20.36922836303711
2020-07-20,20.33779525756836
2020-07-21,20.833839416503906
2020-07-22,20.886606216430664
2020-07-23,20.865497589111328
2020-07-24,20.791622161865234
2020-07-27,21.804821014404297
