method,mse,rmse,mae,coverage,coverage_percent,mean_width,median_width,mean_interval_score,lower_miss_rate,upper_miss_rate,elapsed_seconds,selected_residual_window
M1_DistPred_ANN,2.177304804893048,1.4755693155162342,0.9496569221606158,0.9057591623036649,90.57591623036649,3.9859269101910426,2.9445135242816924,7.543091574466852,0.0549738219895288,0.03926701570680628,106.42559659999097,
M2_DistPred_Minusformer,3.675268356628215,1.917098942837384,1.2767115697818394,0.9136125654450262,91.36125654450262,5.723842567209238,4.471602744199512,8.329259767336548,0.060209424083769635,0.02617801047120419,106.72012740001082,
M3_Quantile_ANN,2.1703886251709084,1.473223888338398,0.9495175289700871,0.8141361256544503,81.41361256544502,6.512603397077723,5.811870669674924,15.133744456501546,0.09424083769633508,0.09162303664921466,106.19899240002269,
M4_Quantile_Minusformer,3.3959602604187995,1.842813137683471,1.2061432214984744,0.6910994764397905,69.10994764397905,4.7618937654094085,3.15662074073132,19.84215230549264,0.18324607329842932,0.1256544502617801,108.31046190002235,
M5_SortBootstrap_ANN,4.810354661288199,2.1932520742696675,1.5071814160580872,0.7486910994764397,74.86910994764398,3.8225137768791613,3.1189159092100986,16.35856028858063,0.0549738219895288,0.19633507853403143,111.46986450004624,
M6_OOT_Adaptive_EnbPI,1.7870772728207343,1.3368160953626846,0.881306876073945,0.9109947643979057,91.09947643979058,3.712088754418093,3.3003308696054354,7.349710259785259,0.04712041884816754,0.041884816753926704,348.34732599998824,all
