method,mse,rmse,mae,coverage,coverage_percent,mean_width,median_width,mean_interval_score,lower_miss_rate,upper_miss_rate,elapsed_seconds,selected_residual_window
M1_DistPred_ANN,395.4859029153793,19.886827371790083,13.67207584772098,0.902027027027027,90.2027027027027,63.79440755181873,60.566092793586925,107.02844289323696,0.05405405405405406,0.04391891891891892,109.3493825999999,
M2_DistPred_Minusformer,397.5304011449172,19.93816443770382,13.888940596766425,0.9222972972972973,92.22972972972973,64.9077693319477,58.241917340343065,103.18485354356879,0.030405405405405407,0.0472972972972973,110.09521789999985,
M3_Quantile_ANN,395.45395926782356,19.886024219733404,13.74467529673596,0.9256756756756757,92.56756756756756,68.5119899095137,58.15111778248921,94.3605303390766,0.033783783783783786,0.04054054054054054,108.0396281000003,
M4_Quantile_Minusformer,414.71103752085855,20.364455247338647,13.898146078325517,0.6351351351351351,63.51351351351351,33.09272927739282,28.07034830892269,258.7801933829828,0.19932432432432431,0.16554054054054054,111.16825749999998,
M5_SortBootstrap_ANN,384.02002671072313,19.596428927504192,13.355861064183038,0.6959459459459459,69.5945945945946,33.614427886613846,32.134381289899984,177.77964840842438,0.15202702702702703,0.15202702702702703,125.49691180000013,
M6_OOT_Adaptive_EnbPI,383.40716078879893,19.580785499790323,13.914649829222316,0.972972972972973,97.2972972972973,97.8591102878715,99.48118298112979,107.37765252881968,0.016891891891891893,0.010135135135135136,450.57874019999986,300.0
