activity_group,n,cycle_level_mean,observed_mean,remainder_mean,remainder_sd,remainder_mae,remainder_q025,remainder_q975
low,492,18.832127334276173,22.640447154471545,3.808319820195374,24.865136468080312,14.86481028833857,-26.978924736342215,75.25444818461816
middle,492,67.64718144798182,77.20955284552845,9.56237139754663,44.37923748197815,27.86519691845601,-38.00831916575449,145.6645750904292
high,493,138.01732291854526,154.48519269776875,16.467869779223477,58.37241611571289,42.664943361972526,-107.49799245655983,147.89737747725337
