date,observed,trend,seasonal_132,cycle_level,remainder,abs_remainder,rolling_remainder_sd
1900-01-01,15.7,74.48192726038158,-57.52775409510049,16.95417316528109,-1.2541731652810881,1.2541731652810881,
1900-02-01,22.8,74.3114500311138,-41.586607751858764,32.72484227925503,-9.924842279255031,9.924842279255031,
1900-03-01,14.4,74.1417909697748,-52.71995098482746,21.42183998494734,-7.021839984947334,7.021839984947334,
1900-04-01,26.8,73.9729658044989,-46.98486499867181,26.988100805827088,-0.18810080582709077,0.18810080582709077,
1900-05-01,25.3,73.80499136075711,-54.43743277161426,19.367558589142853,5.932441410857152,5.932441410857152,
1900-06-01,20.1,73.63788473581384,-62.081424189282814,11.556460546531028,8.543539453468966,8.543539453468966,
1900-07-01,13.9,73.47166252849134,-59.34937624732508,14.122286281166254,-0.22228628116624805,0.22228628116624805,
1900-08-01,7.1,73.30634065318237,-66.35273746920468,6.953603183977691,0.14639681602230326,0.14639681602230326,
1900-09-01,13.9,73.14193502282015,-66.78529362872621,6.356641394093941,7.543358605906064,7.543358605906064,
1900-10-01,21.6,72.97846153463777,-63.099102404484654,9.87935913015312,11.720640869846875,11.720640869846875,
1900-11-01,7.5,72.81593532752191,-64.28169302753413,8.534242299987781,-1.0342422999877812,1.0342422999877812,
1900-12-01,0.5,72.65437053194455,-69.76638559623925,2.8879849357053047,-2.3879849357053047,2.3879849357053047,6.374765783982737
1901-01-01,0.4,72.49378125502301,-72.66634618304681,-0.17256492802380308,0.5725649280238088,0.5725649280238088,6.104459706100282
1901-02-01,4.0,72.33418188355205,-74.84246943958394,-2.5082875560318882,6.508287556031888,6.508287556031888,6.049800054141251
1901-03-01,7.4,72.17558672720014,-70.40742479657122,1.7681619306289207,5.631838069371085,5.631838069371085,5.933522454076604
1901-04-01,0.0,72.01800946849094,-78.48713960678677,-6.469130138295824,6.469130138295824,6.469130138295824,5.85819870028673
1901-05-01,17.0,71.86146307051686,-68.93095862302619,2.9305044474906765,14.069495552509323,14.069495552509323,6.389714262696199
1901-06-01,9.7,71.70595956369485,-71.19989810430036,0.5060614593944877,9.193938540605515,9.193938540605515,6.387763236705217
1901-07-01,1.2,71.55150952276927,-75.07139054601558,-3.519881023246313,4.719881023246316,4.719881023246316,6.220076872959631
1901-08-01,1.7,71.39812233706029,-72.61814657649747,-1.2200242394371799,2.9200242394371827,2.9200242394371827,6.054321407368958
1901-09-01,0.9,71.24580665639043,-73.53325451168587,-2.28744785529544,3.1874478552954457,3.1874478552954457,5.901055644029925
1901-10-01,6.3,71.09457059288563,-74.13135033226487,-3.0367797393792415,9.336779739379239,9.336779739379239,5.910297897266098
1901-11-01,6.4,70.94442159729003,-78.42310986358797,-7.478688266297937,13.878688266297942,13.878688266297942,6.1750997529445115
1901-12-01,0.0,70.79536587924686,-76.6142152203384,-5.818849341091536,5.818849341091536,5.818849341091536,6.052847257338361
1902-01-01,9.3,70.64740808144259,-72.48642662665044,-1.8390185452078498,11.139018545207847,11.139018545207847,6.0986120119348195
1902-02-01,0.0,70.50055164985622,-83.10176103290296,-12.601209383046736,12.601209383046736,12.601209383046736,6.197761984847909
1902-03-01,20.7,70.35479853271731,-77.5831905238731,-7.228391991155789,27.92839199115579,27.92839199115579,7.563337188848677
1902-04-01,0.0,70.21014873708461,-79.2674985504981,-9.057349813413495,9.057349813413495,9.057349813413495,7.4540490099024685
1902-05-01,4.7,70.06659970074959,-75.06661548317629,-5.000015782426701,9.700015782426703,9.700015782426703,7.360544184995061
1902-06-01,2.4,69.92414708108248,-72.77628784255953,-2.8521407614770453,5.252140761477051,5.252140761477051,7.232937721212418
1902-07-01,1.5,69.78278501006298,-67.31176515777685,2.4710198522861333,-0.9710198522861333,0.9710198522861333,7.210442701296814
1902-08-01,3.8,69.64250647882334,-79.20708879482942,-9.564582316006081,13.364582316006079,13.364582316006079,7.2299527204094165
1902-09-01,12.6,69.50330359260626,-71.22917290415249,-1.7258693115462336,14.325869311546228,14.325869311546228,7.272975913052444
1902-10-01,27.2,69.36516660553997,-58.02728128893136,11.337885316608606,15.862114683391397,15.862114683391397,7.360659438658176
1902-11-01,17.2,69.22808351991266,-59.53742772789792,9.690655792014738,7.509344207985265,7.509344207985265,7.254742011775499
1902-12-01,1.8,69.09204004482893,-73.52140086862278,-4.429360823793843,6.22936082379384,6.22936082379384,7.150357523757639
1903-01-01,13.9,68.95702007841233,-65.67121712965842,3.2858029487539113,10.614197051246094,10.614197051246094,7.066063053099508
1903-02-01,28.4,68.82300580093978,-55.693183112659796,13.129822688279987,15.270177311720019,15.270177311720019,6.614691628159471
1903-03-01,22.5,68.68997725188238,-54.888000748161495,13.801976503720887,8.698023496279106,8.698023496279106,6.143526164717868
1903-04-01,43.5,68.5579119754394,-36.79768656036622,31.760225415073172,11.739774584926835,11.739774584926835,6.023747210196864
1903-05-01,24.3,68.42678523317406,-49.04497455518962,19.38181067798444,4.918189322015564,4.918189322015564,6.036435629423148
1903-06-01,27.2,68.29656993259607,-35.624248595324694,32.67232133727138,-5.4723213372713815,5.4723213372713815,6.4421494379543365
1903-07-01,46.4,68.16723714329586,-40.37306430301274,27.794172840283125,18.60582715971688,18.60582715971688,6.547182141391206
1903-08-01,48.0,68.03875648661726,-32.54248962044472,35.49626686617254,12.503733133827453,12.503733133827453,6.436683472812095
1903-09-01,18.5,67.91109468069284,-36.49767918595467,31.413415494738175,-12.913415494738175,12.913415494738175,7.3625317710465135
1903-10-01,64.8,67.78421580547476,8.635156059048024,76.41937186452279,-11.619371864522783,11.619371864522783,8.02020324865666
1903-11-01,74.2,67.6580830651308,9.815717198947137,77.47380026407794,-3.2738002640779342,3.2738002640779342,8.095126713375238
1903-12-01,76.2,67.5326589667767,27.170071416943493,94.7027303837202,-18.502730383720184,18.502730383720184,9.034341033475972
1904-01-01,52.6,67.40790490684098,-6.996053593286294,60.41185131355469,-7.8118513135546905,7.8118513135546905,9.30358290434239
1904-02-01,40.8,67.28378180351756,-11.109030288559119,56.17475151495844,-15.37475151495844,15.37475151495844,9.99673071853313
1904-03-01,61.9,67.16024976202513,4.936473711496868,72.096723473522,-10.196723473521999,10.196723473521999,10.353363743068485
1904-04-01,71.6,67.03726828020724,-0.590443500196312,66.44682478001093,5.153175219989066,5.153175219989066,10.352245781519995
1904-05-01,65.7,66.9147957069667,3.793468852029247,70.70826455899595,-5.008264558995947,5.008264558995947,10.388484651198397
1904-06-01,69.8,66.79278811161426,36.6460364488242,103.43882456043846,-33.63882456043846,33.63882456043846,12.18638930986789
1904-07-01,84.3,66.67120000897948,32.54853356160536,99.21973357058485,-14.919733570584846,14.919733570584846,12.575813788660952
1904-08-01,97.1,66.54998581216081,40.797788807951164,107.34777462011198,-10.247774620111983,10.247774620111983,12.774703298989245
1904-09-01,50.2,66.4290992877481,14.840384589845907,81.26948387759401,-31.06948387759401,31.06948387759401,13.969200048302133
